Time R1 R2 R3 R4 R5
16.23 892 1363 2063 1085 419
16.23 870 1358 2072 1089 423
16.24 855 1346 2079 1103 427
16.25 876 1337 2056 1103 424
16.25 883 1330 2054 1097 434
16.26 888 1327 2033 1089 435
16.27 894 1338 2057 1090 425
16.27 871 1323 2058 1083 425
16.28 882 1311 2050 1074 429
16.29 886 1303 2050 1069 432
16.29 876 1298 2062 1066 426
16.3 896 1288 2046 1076 430
16.31 907 1287 2035 1062 431
16.31 931 1289 2023 1057 436
16.32 923 1274 2050 1058 439
16.32 904 1266 2074 1054 438
16.33 903 1272 2066 1068 441
16.34 894 1291 2064 1081 446
16.34 893 1280 2075 1076 442
16.35 900 1289 2091 1073 441
16.36 917 1289 2078 1064 432
16.36 918 1302 2085 1062 435
16.37 908 1305 2092 1067 432
16.38 905 1295 2091 1067 434
16.38 890 1304 2083 1054 435
16.39 902 1293 2076 1055 432
16.4 872 1294 2075 1062 429
16.4 876 1303 2067 1069 439
16.41 859 1288 2049 1071 439
16.42 868 1278 2047 1064 437
16.42 882 1300 2063 1068 427
16.43 900 1314 2075 1061 438
16.44 912 1315 2071 1059 441
16.44 922 1319 2054 1064 443
16.45 936 1321 2058 1075 442
16.46 915 1308 2037 1083 441
16.46 907 1315 2029 1088 441
16.47 910 1326 2028 1081 441
16.48 896 1321 2036 1094 445
16.49 896 1331 2032 1090 431
16.49 870 1322 2039 1080 433
16.5 872 1324 2032 1088 444
16.51 858 1322 2041 1097 446
16.51 880 1318 2051 1085 446
16.52 869 1314 2056 1074 445
16.52 864 1314 2053 1079 446
16.53 864 1297 2066 1073 452
16.54 847 1293 2056 1085 455
16.54 868 1291 2060 1076 457
16.55 880 1293 2056 1069 452
16.56 870 1302 2058 1090 456
16.56 881 1291 2051 1085 444
16.57 886 1303 2023 1100 438
16.58 886 1299 2039 1105 443
16.58 897 1298 2038 1112 441
16.59 895 1282 2042 1117 442
16.6 897 1265 2045 1106 443
16.6 875 1276 2046 1096 435
16.61 878 1283 2043 1099 431
16.62 865 1287 2045 1108 425
16.63 876 1292 2033 1108 421
16.63 874 1275 2012 1105 422
16.64 866 1273 1992 1102 419
16.65 844 1294 2003 1103 416
16.65 844 1295 1993 1106 416
16.66 861 1281 1986 1127 411
16.67 883 1278 1991 1119 417
16.67 879 1263 2006 1110 410
16.68 880 1250 2010 1119 413
16.69 868 1260 2002 1123 411
16.69 853 1267 2000 1112 414
16.7 862 1271 1998 1115 410
16.71 854 1288 2001 1119 402
16.71 849 1283 2009 1110 391
16.72 870 1280 2017 1110 389
16.73 867 1271 2006 1119 385
16.73 867 1252 2010 1120 385
16.74 853 1259 2026 1121 387
16.75 859 1247 2016 1125 387
16.75 857 1256 1997 1134 392
16.76 860 1257 2005 1131 395
16.77 850 1259 2021 1130 392
16.77 875 1261 2013 1125 390
16.78 871 1272 2008 1104 391
16.79 872 1275 1998 1099 398
16.79 887 1292 2010 1101 392
16.8 881 1291 2006 1093 385
16.81 873 1291 2001 1107 384
16.82 871 1302 2001 1100 380
16.82 857 1305 1984 1097 383
16.83 850 1302 1989 1108 387
16.83 859 1298 1983 1104 386
16.84 864 1276 2000 1107 385
16.85 881 1269 2008 1102 392
16.86 870 1266 1983 1107 390
16.86 865 1274 1970 1104 387
16.87 882 1275 1973 1113 389
16.88 904 1274 1967 1105 390
16.88 879 1270 1959 1098 396
16.89 875 1267 1956 1096 396
16.9 866 1267 1964 1097 390
16.9 852 1276 1977 1103 390
16.91 861 1264 1987 1095 397
16.92 863 1271 2009 1111 390
16.92 868 1266 2004 1110 388
16.93 860 1265 2004 1112 387
16.94 856 1260 2000 1112 390
16.95 869 1267 2018 1119 387
16.95 869 1259 2030 1112 394
16.96 868 1259 2031 1113 393
16.97 863 1266 2033 1118 388
16.97 866 1277 2024 1107 380
16.98 849 1271 2015 1104 391
16.99 826 1278 2024 1112 386
16.99 867 1278 2015 1106 384
17 865 1280 2014 1105 382
17.01 837 1271 1990 1091 381
17.02 857 1270 1991 1105 383
17.02 831 1264 2002 1114 381
17.03 832 1271 1991 1115 383
17.04 849 1263 1984 1122 380
17.04 836 1254 1995 1112 381
17.05 851 1278 1996 1117 386
17.06 845 1261 1986 1113 389
17.06 857 1266 2001 1108 400
17.07 860 1257 2005 1119 403
17.08 862 1266 1992 1102 398
17.08 873 1264 1985 1115 405
17.09 875 1255 1986 1099 413
17.1 878 1274 1985 1103 410
17.1 886 1266 1990 1100 404
17.11 886 1254 1997 1105 398
17.12 892 1260 1993 1111 404
17.12 868 1268 1986 1108 398
17.13 868 1277 1979 1117 407
17.14 878 1268 1989 1104 397
17.14 880 1267 2001 1093 393
17.15 880 1256 2007 1110 385
17.16 871 1263 1997 1110 383
17.16 887 1253 1989 1111 380
17.17 904 1248 1990 1118 382
17.18 922 1247 1997 1114 384
17.18 911 1250 1989 1111 383
17.19 915 1248 2000 1125 380
17.2 911 1246 1995 1125 379
17.2 915 1249 1997 1104 379
17.21 900 1263 1985 1102 386
17.22 897 1259 1975 1108 389
17.22 905 1248 1979 1122 392
17.23 917 1254 1980 1119 392
17.24 920 1247 1986 1106 383
17.24 914 1232 1979 1115 382
17.25 901 1250 1976 1131 378
17.26 883 1236 1982 1130 377
17.26 869 1229 1986 1127 385
17.27 881 1227 1999 1135 390
17.28 883 1237 2003 1122 389
17.28 893 1245 1994 1116 382
17.29 899 1239 1991 1134 373
17.3 903 1229 1988 1129 361
17.3 900 1223 1990 1125 368
17.31 886 1214 1984 1120 378
17.32 874 1209 1994 1112 375
17.33 904 1208 1985 1098 371
17.33 901 1202 1982 1108 379
17.34 909 1209 1979 1103 378
17.34 906 1235 1999 1097 371
17.35 885 1212 2002 1091 374
17.36 894 1228 2017 1088 377
17.37 866 1252 2018 1085 383
17.37 895 1250 2015 1077 393
17.38 880 1253 2010 1068 397
17.39 863 1247 2023 1054 393
17.39 885 1254 2023 1051 389
17.4 904 1251 2026 1057 386
17.41 901 1254 2014 1058 393
17.41 901 1239 2011 1051 394
17.42 910 1259 2009 1052 392
17.43 908 1262 2010 1068 396
17.43 881 1277 2016 1070 396
17.44 899 1269 2019 1081 402
17.45 880 1263 2012 1091 408
17.45 883 1266 2020 1092 399
17.46 875 1246 2027 1084 400
17.47 884 1250 2014 1069 403
17.47 892 1267 2023 1084 400
17.48 877 1256 2015 1086 396
17.49 887 1247 2001 1089 390
17.49 874 1258 1984 1096 394
17.5 893 1274 1969 1102 408
17.51 902 1273 1973 1083 407
17.51 894 1272 1974 1089 407
17.52 881 1267 1972 1080 402
17.53 882 1271 1986 1086 397
17.53 876 1263 1993 1095 397
17.54 890 1249 1998 1080 395
17.55 882 1240 2002 1072 396
17.55 892 1242 2018 1069 391
17.56 904 1248 2020 1077 383
17.57 913 1241 2001 1086 383
17.57 909 1244 2005 1091 381
17.58 912 1248 2001 1096 385
17.59 922 1256 2017 1102 381
17.59 942 1274 2003 1086 381
17.6 929 1266 2009 1098 380
17.61 911 1280 2014 1107 376
17.61 932 1290 2016 1105 385
17.62 914 1290 2002 1110 384
17.63 912 1288 1982 1106 378
17.64 889 1287 2015 1101 374
17.64 894 1296 2032 1098 374
17.65 879 1286 2035 1107 377
17.66 872 1298 2035 1101 380
17.66 871 1305 2027 1108 377
17.67 878 1297 2024 1098 375
17.68 877 1292 2019 1093 379
17.68 879 1284 2015 1098 368
17.69 886 1285 2009 1092 374
17.7 889 1304 2020 1089 378
17.7 906 1297 2011 1094 378
17.71 915 1307 2016 1101 375
17.72 886 1319 2015 1111 375
17.72 904 1334 2006 1104 380
17.73 879 1325 2001 1116 389
17.74 866 1329 2015 1111 389
17.74 890 1320 2033 1109 390
17.75 876 1315 2030 1113 392
17.76 890 1290 2032 1101 405
17.76 903 1297 2027 1097 404
17.77 909 1283 2030 1099 413
17.78 901 1287 2027 1106 403
17.78 879 1294 2034 1109 398
17.79 895 1300 2032 1104 395
17.8 893 1288 2033 1113 399
17.8 896 1284 2028 1125 395
17.81 902 1281 2034 1118 395
17.82 869 1277 2038 1119 387
17.82 882 1304 2037 1125 392
17.83 888 1317 2028 1114 389
17.84 896 1315 2024 1127 388
